"NO","Name","District","Address","Name_Per","Telephone","twd97X","twd97Y","wgs84aX","wgs84aY"
"5.931024944E9","康希藥局","三重區","新北市三重區三和路2段83號1樓","蔡慧儒","02-89728298","300429.02","2773425.22","121.499866251294","25.068204133123"
"5.931072315E9","愛立康藥局","樹林區","新北市樹林區大雅路286號1樓","游政昱","02-89706878","288363.8","2760014.41","121.379902267485","24.947483543534"
"5.931071961E9","綠蘋果藥局","樹林區","新北市樹林區學勤路597號1樓","蘇玲雯","02-89706050","288800.13","2760189.53","121.384227919094","24.949053435485"
"5.931016577E9","廣泰藥師藥局","板橋區","新北市板橋區館前西路150號1樓","鄭敦仁","02-89698381","295984.59","2766789.41","121.455591649613","25.0084375077436"
"5.9310167E9","葆康藥局","板橋區","新北市板橋區四川路2段245巷3號1樓","鄭凱文","02-89678373","295491.93","2765129.26","121.450656060277","24.9934643504843"
"5.931015972E9","德豐健保藥局","板橋區","新北市板橋區四川路2段47巷3弄1號1樓","劉書瑋","02-89675880","295856.85","2765277.25","121.454275892657","24.9947894738772"
"5.931016433E9","利安社區藥局","板橋區","新北市板橋區德興街37巷14號1樓","謝思齊","02-89671550","295814.41","2765169.67","121.453851940545","24.9938195087633"
"5.931015776E9","亞季藥局","板橋區","新北市板橋區南雅南路2段142巷11號1樓","葉良南","02-89671131","295579.86","2765540.01","121.451540713018","24.9971700116146"
"5.93113261E9","久安藥局","土城區","新北市土城區廣明街70號1樓","黃崇連","02-89671097","295935.18","2765168.14","121.455048198106","24.9938020608021"
"5.93101696E9","愛美得藥局","板橋區","新北市板橋區中山路2段34號1樓","謝致修","02-89539190","297724.4","2767541.22","121.472854318757","25.0151711346144"
"5.931017083E9","和安藥局","板橋區","新北市板橋區四川路1段171號1樓","劉謹豪","02-89537548","296438.37","2766275.97","121.46007008667","25.0037882828516"
"5.931033292E9","柏愛藥局","永和區","新北市永和區竹林路57號1樓","鄭文柏","02-89285609","302307.95","2767412.72","121.518261934488","25.013859705009"
"5.931033701E9","日陽藥局","永和區","新北市永和區竹林路29號1樓","蔡肇吉","02-89252346","302231.45","2767499.43","121.517507360162","25.0146451338684"
"5.931033498E9","亞佐藥局","永和區","新北市永和區中山路1段128巷17號1樓","張明仁","02-89219038","301447.3","2767014.18","121.509720204763","25.0102910965887"
"5.931033103E9","皇家藥師藥局","永和區","新北市永和區中正路720號1樓","黃健龍","02-89216867","302063.85","2767002.76","121.515828058734","25.0101669336194"
"5.931033685E9","崇恩藥局","永和區","新北市永和區成功路2段135號1樓","鄭文豪","02-89214022","303170.13","2765670.04","121.526737022965","24.9980967539189"
"5.931052984E9","北一藥師藥局","新店區","新北市新店區北新路2段160號1樓、2樓","高瀚智","02-89115686","304828.68","2763187.53","121.543068591105","24.9756255412433"
"5.93105284E9","微笑生活藥局","新店區","新北市新店區建國路85號1樓","張育華","02-89113397","304560.26","2763290.61","121.540414113813","24.9765658979593"
"5.931111737E9","廣誠藥師藥局","汐止區","新北市汐止區建成路22號1樓","黃柏凱","02-86916091","317061.95","2773992.46","121.66475644901","25.0726784328354"
"5.931112323E9","永康中西綜合藥局","汐止區","新北市汐止區龍安路175號1樓","曾朝意","02-86915580","315944.68","2772918.85","121.653630502058","25.0630353405278"
"5.93111243E9","忠孝藥局","汐止區","新北市汐止區忠孝東路321號1樓","羅尹宏","02-86910788","317064.99","2773636.96","121.664769210671","25.0694689167513"
"5.93107197E9","保康藥局","樹林區","新北市樹林區保安街1段364號","黃惠燕","02-86875503","292156.58","2765683.42","121.417632783972","24.998563832258"
"5.93107202E9","泰平藥師藥局","樹林區","新北市樹林區彭福里太平路143號","許志嘉","02-86860038","292311.56","2763629.19","121.419105184088","24.9800136267296"
"5.931072299E9","小蜜蜂中西健保藥局","樹林區","新北市樹林區東榮街118號1樓","陳俊宏","02-86853677","291932.41","2763880.87","121.415357326142","24.9822963110247"
"5.931072217E9","樹林健業藥局","樹林區","新北市樹林區東華街89號1樓","羅正輝","02-86851736","291984.17","2763679.44","121.415863944295","24.980476391763"
"5.93107228E9","啄木鳥藥局","樹林區","新北市樹林區中華路391號1-2樓","温順華","02-86851495","291540.39","2763667.06","121.41146788773","24.980376777352"
"5.931081421E9","萊爾康健保藥局","鶯歌區","新北市鶯歌區永明街17號1樓","洪嘉揚","02-86782232","284177.45","2760889.21","121.338468671463","24.9554813718684"
"5.93108143E9","華昇藥局","鶯歌區","新北市鶯歌區鶯桃路567號","林晏如","02-86777961","283307.53","2762311.95","121.329887911053","24.9683456577283"
"5.931091392E9","一大藥局","三峽區","新北市三峽區橫溪路23號","李明興","02-86767777","290028.6","2758729.83","121.396350739462","24.9358430679046"
"5.931091552E9","欣美大藥局","三峽區","新北市三峽區大同路52號","何森華","02-86712269","288070.92","2757923.43","121.376944586117","24.9286129792674"
"5.931052439E9","德莘藥局","新店區","新北市新店區中正路413號1樓","莊竣棋","02-86655462","303931.1","2763419.91","121.534187578904","24.9777557223902"
"5.931112341E9","躍獅尚揚藥局","汐止區","新北市汐止區忠孝東路399號1樓","曾婉君","02-86483158","317160.67","2773802.43","121.665725650988","25.0709585320681"
"5.931101937E9","文川藥局","淡水區","新北市淡水區中山北路1段93號1樓","林麗燕","02-86319033","294580.02","2785379.39","121.442279151265","25.1763098610568"
"5.931024622E9","萊康健保藥局","三重區","新北市三重區溪尾街176號1樓","黃士豪","02-82871076","299278.48","2774793.77","121.488511171045","25.0805973276838"
"5.93114186E9","北聯藥局","蘆洲區","新北市蘆洲區民族路361號1樓","梁正江","02-82866873","297584.13","2776008.35","121.47175704821","25.0916168845028"
"5.931141557E9","龍成藥局","蘆洲區","新北市蘆洲區民族路53號","郭家銘","02-82857868","298276.07","2775336.82","121.478593365896","25.085532320586"
"5.931142081E9","威仕康藥局","蘆洲區","新北市蘆洲區民權路122號1樓","洪建元","02-82853277","297753.54","2775683.48","121.473425282437","25.0886786372668"
"5.931142572E9","幸安藥局","蘆洲區","新北市蘆洲區中山二路53號1樓","許博超","02-82835389","297791.84","2774967.73","121.473780125775","25.0822156556405"
"5.931142769E9","好美麗健康藥局","蘆洲區","新北市蘆洲區光明路6號1樓","吳佩軒","02-82826209","296458.23","2775429.64","121.460575453321","25.0864273308985"
"5.931142625E9","康得健藥局","蘆洲區","新北市蘆洲區長安街260號1樓","邵俊憲","02-82821862","296148.18","2775442.94","121.457502196919","25.0865569188725"
"5.931142554E9","宏祐藥局","蘆洲區","新北市蘆洲區復興路202號1樓","張榮晉","02-82815252","298260.99","2775719.54","121.4784573007","25.0889879679857"
"5.93101599E9","名安藥局","板橋區","新北市板橋區龍興街57號1樓","卓聖偉","02-82751784","294731.67","2765977.72","121.443152400594","25.0011470474312"
"5.931016326E9","楓康藥局","板橋區","新北市板橋區新海路119號1樓","趙子豪","02-82582246","296523.24","2768393.08","121.460982255263","25.0228991260743"
"5.931014046E9","欣安藥局","板橋區","新北市板橋區懷德街109號1樓","簡素娟","02-82572535","298292.33","2769345.05","121.478544369804","25.0314381570752"
"5.931017074E9","麥田健保藥局","板橋區","新北市板橋區雙十路2段120號2樓","陳玉琴","02-82529223","297853.78","2769050.36","121.474188591203","25.0287916433861"
"5.931016595E9","宥康婦幼健保藥局","板橋區","新北市板橋區仁化街30號1樓","袁胤威","02-82528162","297915.54","2769356.34","121.474811138656","25.0315520591175"
"5.931015552E9","快樂藥局漢生店","板橋區","新北市板橋區漢生東路19號","廖健宏","02-82522637","296925.05","2767779.95","121.464942682751","25.0173513711888"
"5.931040037E9","溫莎藥局","中和區","新北市中和區員山路292號","鄭百裕","02-82277275","298589.42","2766131.14","121.481375158467","25.0024132866593"
"5.931067903E9","西華藥局","新莊區","新北市新莊區後港一路102號1樓","林明哲","02-82012697","293195.79","2768819.49","121.428025872814","25.0268474145983"
"5.931067332E9","富祐藥局","新莊區","新北市新莊區民安西路21號1樓","張慧玲","02-82012451","293098.99","2768211.25","121.427047644949","25.0213588804983"
"5.931015187E9","皇慶藥局","板橋區","新北市板橋區南門街81、83號1、2、3樓及館前西路112巷7號1、2樓","黃維德","02-77297988","296211","2766905","121.457838601","25.0094741889"
"5.931070204E9","懷恩藥局","樹林區","新北市樹林區中正路614號","黃結","02-26893417","291413.29","2767600.91","121.410326897764","25.0158956477804"
"5.931070142E9","江藥局","樹林區","新北市樹林區日新街102號1樓","江麗鴻","02-26828001","292534.16","2764732.9","121.421344051967","24.9899718367707"
"5.931010717E9","永幸藥局","板橋區","新北市板橋區金門街121巷2號","劉永幸","02-26827012","293732","2764929.56","121.433215825305","24.9917132392547"
"5.931070151E9","蔣示藥局","樹林區","新北市樹林區太順街62巷3弄2號","蔣榮井","02-26819460","292147.27","2763594.67","121.417476837547","24.9797065172419"
"5.93101133E9","戴安藥局","板橋區","新北市板橋區溪北路54號","蔡金利","02-26818663","293166.9","2764718.48","121.427611367002","24.9898237427986"
"5.931024337E9","安立藥局","三重區","新北市三重區正義北路317號1樓","劉嬌蓮","02-66252626","299853.88","2773767.08","121.494177909113","25.0713094996735"
"5.93101581E9","辰陽藥局","板橋區","新北市板橋區三民路2段110號-2(1樓)","曾偉宗","02-66082888","298351.01","2767707.9","121.47906842621","25.016655987904"
"5.931110187E9","致維藥局","汐止區","新北市汐止區忠孝東路258巷5號1樓","俞志華","02-26422993","316934.73","2773413.84","121.663467275032","25.0674604199796"
"5.931100047E9","松和大藥局","淡水區","新北市淡水區英專路92號","郭麗珠","02-26203369","294942.94","2784866.3","121.445862729789","25.1716669388263"
"5.931071881E9","盛立藥局","樹林區","新北市樹林區大雅路285號1樓","楊佳蓉","02-35018218","288326.96","2759999.86","121.379537088277","24.9473530995628"
"5.931044491E9","里安藥局","中和區","新北市中和區員山路271-1號2樓","吳嘉盛","02-32347111","298569.65","2765809.43","121.481167955176","24.9995095821667"
"5.931068008E9","北醫藥局","新莊區","新北市新莊區思源路119號1樓","黃永達","02-29983670","296376.79","2770538.1","121.45960326953","25.0422690065843"
"5.931067403E9","建嘉藥局","新莊區","新北市新莊區中誠街42號1樓","林傳吉","02-29935301","295538.51","2771183.6","121.451317320744","25.0481220349045"
"5.931024355E9","天賜藥局","三重區","新北市三重區正義北路141號1樓","羅雅貞","02-29856852","300109.6","2773261.93","121.496694229653","25.0667405934942"
"5.931024935E9","健康藥局","三重區","新北市三重區安樂街58號1樓","王子亮","02-29841882","299967.73","2773558.75","121.495298789545","25.0694249994583"
"5.931020964E9","穗元大藥局","三重區","新北市三重區力行路1段149號1樓、151號1樓","吳淑芳","02-29827688","298983.96","2773479.81","121.485544782309","25.0687444884593"
"5.931024551E9","樂活處方箋藥局","三重區","新北市三重區中正北路99號1樓","戴育鑫","02-29805182","299403.42","2772872.24","121.489680678362","25.0632457556605"
"5.931024588E9","陽光藥師藥局","三重區","新北市三重區三和路1段182號1樓","陳伯瑋","02-29788120","300649","2773199","121.502038355","25.0661544938"
"5.93102503E9","飛龍大藥局","三重區","新北市三重區龍濱路163號1樓","陳彥宇","02-29773733","300701.86","2773589.44","121.50257666469","25.0696776311398"
"5.931025192E9","榮康藥局","三重區","新北市三重區成功路81號1樓","王燦榮","02-29772723","299303.73","2771549.32","121.488645234738","25.0513057211355"
"5.931024631E9","德榮藥局","三重區","新北市三重區中華路91號１樓","林家榮","02-29717291","298791.48","2772844.74","121.483614441346","25.0630173362278"
"5.931020688E9","厚德藥局","三重區","新北市三重區大智街175號1樓、177號1樓","林信安","02-29717277","299408.92","2773913.52","121.489772618061","25.0726461920476"
"5.931025156E9","大樹三重藥局","三重區","新北市三重區正義北路66號","湯尚道","02-29713188","300159.91","2772975.38","121.49718243016","25.0641519846451"
"5.931024677E9","博愛藥局","三重區","新北市三重區三民街220號1樓","吳靜華","02-29711606","298450.65","2773297.64","121.480252162478","25.0671171352991"
"5.931024962E9","建祥三和藥局","三重區","新北市三重區三和路2段160號1樓","陳貞伶","02-29703379","300365.29","2773460.61","121.499235865951","25.0685257678395"
"5.931014868E9","安佑藥局","板橋區","新北市板橋區館前西路152-2號","黃國都","02-29698651","295967.66","2766794.96","121.455424081083","25.0084881382402"
"5.931016728E9","僑一藥局","板橋區","新北市板橋區僑中一街106號1樓","趙天麟","02-29696850","295068.77","2767160.7","121.446530482887","25.0118171145066"
"5.93101701E9","醫安藥局","板橋區","新北市板橋區南雅南路1段11號1樓及2樓","陳錫齡","02-29692588","296078.44","2766636.92","121.456516332384","25.0070579548839"
"5.931015605E9","僑中藥師藥局","板橋區","新北市板橋區僑中1街102巷5弄15號1樓","吳聰旻","02-29692547","295022.11","2767253","121.446071232861","25.0126517875689"
"5.931016871E9","福澤藥局","板橋區","新北市板橋區南雅南路1段85號1樓","黃泳霏","02-29690013","295990.83","2766455.96","121.455642350095","25.0054269297025"
"5.931017047E9","永欣藥師藥局","板橋區","新北市板橋區龍興街46號1樓","曾嘉祥","02-29687120","294742.26","2765954.44","121.443256491683","25.000936530862"
"5.931016826E9","合佳藥局","板橋區","新北市板橋區龍興街47號1樓","陳建華","02-29683486","294721.62","2765938.57","121.443051529122","25.0007938186657"
"5.931016835E9","元賀大藥局","板橋區","新北市板橋區館前西路132號1樓","江徵麟","02-29680980","296076.72","2766730.71","121.456502423971","25.0079047937766"
"5.931010637E9","永富藥局","板橋區","新北市板橋區中興路9號","張俊傑","02-29675598","296003.69","2766710.87","121.45577829085","25.0077278628996"
"5.931011447E9","日生大藥局","板橋區","新北市板橋區中正路1巷16弄16號","吳明慧","02-29675261","295929.55","2767194.24","121.455059856669","25.0120940389489"
"5.931014822E9","常仁藥局","板橋區","新北市板橋區中正路1巷4號","許志儒","02-29674999","295981.8","2767180.91","121.455577071402","25.0119721222949"
"5.931016755E9","禾田藥局","板橋區","新北市板橋區大觀路2段265巷12號1樓","王耀駿","02-29659899","294697.95","2765693.27","121.44280913541","24.998579949728"
"5.931015329E9","杏澤藥局","板橋區","新北市板橋區國光路55號","曾茪","02-29657959","296265.93","2767848.59","121.458414427228","25.0179913464527"
"5.931015454E9","府中藥局","板橋區","新北市板橋區府中路110號","王佩嘉","02-29656731","295997.05","2766922.88","121.45571952153","25.0096421261454"
"5.931016915E9","微笑藥局","板橋區","新北市板橋區中正路211號","林耀群","02-29655811","296035.51","2767793.69","121.456129578599","25.0175026805164"
"5.931017056E9","迦佰麗藥局","板橋區","新北市板橋區南雅南路2段11-24號1樓","呂美玉","02-29648498","295839.57","2766087.35","121.454131640652","25.0021036529582"
"5.931015749E9","品品藥局","板橋區","新北市板橋區中山路2段402號1樓","葉淑娟","02-29647917","298720.98","2768160.95","121.48275012564","25.0207343524066"
"5.931014751E9","活泉藥局","板橋區","新北市板橋區四川路1段156號1樓、2樓","許銘勝","02-29647761","296421.36","2766228.03","121.459899991247","25.0033559766603"
"5.931016933E9","晴光藥局","板橋區","新北市板橋區中山路2段225號2樓","謝淑薇","02-29646662","298131.91","2767787.75","121.476900416139","25.0173838712076"
"5.931042782E9","弘安藥局","中和區","新北市中和區德光路121-1號1樓","吳瑞意","02-29646489","297228.92","2766191.53","121.467899096087","25.0030015227251"
"5.931044393E9","躍獅康銓藥局","中和區","新北市中和區莒光路146號1樓","李思賢","02-29646452","297691.68","2765958.42","121.472475472789","25.0008825322388"
"5.931015301E9","利安中西藥局","板橋區","新北市板橋區板新路143號","洪源宗","02-29644745","297453.55","2767570.2","121.470171800676","25.0154412085346"
"5.931017136E9","國慶藥局","板橋區","新北市板橋區國慶路268號1樓","謝忠育","02-29641680","296779.85","2765687.39","121.46343314215","24.9984640749474"
"5.931016264E9","躍獅國慶藥局","板橋區","新北市板橋區國慶路179號1樓","何幸芝","02-29641548","296695.85","2765454.42","121.462593131689","24.9963633617578"
"5.931015909E9","向康藥局","板橋區","新北市板橋區實踐路147號1樓","褚婉齡","02-29637248","296865.01","2766341.79","121.464298990427","25.0043693616662"
"5.931016719E9","王林藥局","板橋區","新北市板橋區忠孝路24巷15號1樓","陳國金","02-29636775","296451.33","2766005.65","121.460189358522","25.0013474123723"
"5.931012042E9","喬治藥局","板橋區","新北市板橋區國慶路155號1樓","江石燕","02-29630787","296594","2765432.55","121.461583485856","24.9961690319766"
"5.931016586E9","賜安藥局","板橋區","新北市板橋區信義路60號1樓","洪若嘉","02-29617483","296140.55","2765160.75","121.457082355837","24.9937290838302"
"5.931010842E9","大福藥局","板橋區","新北市板橋區三民路1段31巷15號","李榮煌","02-29610311","298440.13","2768440.05","121.479977172514","25.0232630884609"
"5.931015883E9","宜康藥局","板橋區","新北市板橋區龍興街33號1樓","莊珮瑩","02-29603940","294706.01","2765887.5","121.442895228777","25.0003332622958"
"5.93101688E9","漢民藥局","板橋區","新北市板橋區漢生東路346號1樓","楊輝彬","02-29598168","297638.83","2766673.39","121.471976584922","25.0073389352953"
"5.931015338E9","軒源藥局","板橋區","新北市板橋區信義路169號1樓","葉子銘","02-29583995","296327.61","2764987.52","121.458929562572","24.9921594409749"
"5.931015981E9","立安中西藥局","板橋區","新北市板橋區後埔街83號1樓","王巾英","02-29582241","296503.71","2766435.91","121.460722774704","25.0052302374142"
"5.931016273E9","湯明藥局","板橋區","新北市板橋區中山路2段319號1樓","蔡雅婷","02-29571980","298344.08","2767930.01","121.479007609801","25.0186614522074"
